EVTOPTA_SOA_3092;[Root.Religion.GetRandomEvilGodNameCap]'s will be done!;Que la volonté [Root.GetEvilGodDuDelaDes] soit faite !;[Root.Religion.GetRandomEvilGodNameCap], dein Wille geschehe!;;¡Será el fin de los seguidores de [Root.Religion.GetRandomEvilGodNameCap]!;;;;;;;;;x
EVTOPTA_SoA_5000;I will start making travel plans.;Je commence à préparer mon voyage.;Ich beginne die Planung meiner Reise.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5011;I will go to Jerusalem and see the wonders of the Holy Land.;J'irai à Jérusalem voir les merveilles de Terre sainte.;Ich fahre nach Jerusalem und will die Wunder des Heiligen Landes sehen.;;Iré a Jerusalén a ver las maravillas de la Tierra Santa.;;;;;;;;;x
EVTOPTA_SoA_5016;I will start making travel plans.;Je commence à préparer mon voyage.;Ich bereite jetzt meine Reisepläne vor.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5017;I will start making travel plans.;Je commence à préparer mon voyage.;Ich bereite jetzt meine Reisepläne vor.;;Comenzaré los planes del viaje.;;;;;;;;;x
EVTOPTA_SoA_5018;I shall visit a holy site in the West.;Je visiterai un lieu saint à l'ouest.;Ich besuche eine heilige Stätte im Westen.;;Visitaré un lugar sagrado de Occidente.;;;;;;;;;x
EVTOPTA_SoA_5019;I will visit the tomb of Thomas Becket in Canterbury.;Je visiterai le tombeau de Thomas Becket à Cantorbéry.;Ich werde das Grab von Thomas Becket in Canterbury besuchen.;;Visitaré la tumba de Thomas Becket en Canterbury.;;;;;;;;;x
EVTOPTA_SoA_5020;I will travel to the Holy Land.;Je me rendrai en Terre sainte.;Ich fahre ins Heilige Land.;;Viajaré a Tierra Santa.;;;;;;;;;x
EVTOPTA_SoA_5021;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5022;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5023;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5024;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5025;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5026;Blessed is [Root.GetSheHe] who perseveres under trial. ;Bénis soient ceux et celles qui persévèrent face à une telle épreuve.;Gesegnet sei [Root.GetSheHe], standhaft in der Prüfung. ;;Bienaventurados sean los que resisten a la tentación.;;;;;;;;;x
EVTOPTA_SoA_5027;If only I hadn't listened to those useless peasants that gave me directions.;Si seulement je n'avais pas écouté ces imbéciles de paysans qui disaient connaître la région...;Hätte ich nur nicht auf die Wegbeschreibung dieser Bauerntölpel gehört.;;Si no hubiera hecho caso a aquellos campesinos inútiles que me dieron indicaciones.;;;;;;;;;x
EVTOPTA_SoA_5028;Help put it out!;Aidons à éteindre le feu !;Helft beim Löschen!;;¡Ayudar a apagarlo!;;;;;;;;;x
EVTOPTA_SoA_5029;Pay up.;Payons !;Bezahlt sie.;;Pagar.;;;;;;;;;x
EVTOPTA_SoA_5030;No time to stop, I'm sure it'll hold.;Pas le temps de nous arrêter, il tiendra bien !;Jetzt nicht stehenbleiben, sie wird sicher halten.;;No hay tiempo para detenerse, estoy seguro de que aguantará.;;;;;;;;;x
EVTOPTA_SoA_5031;The mind wanders where it will.;L'esprit erre à sa guise.;Der Geist wandert, wohin er will.;;La mente se pierde por derroteros desconocidos.;;;;;;;;;x
EVTOPTA_SoA_5032;Bind up his wounds, help him to an inn and pay for his recovery.;Soignons ses blessures, accompagnons-le à l'auberge et payons pour sa guérison.;Ihr schafft ihn in eine Herberge und bezahlt für seine Pflege.;;Vendas sus heridas, le llevas hasta una posada y pagas por sus cuidados.;;;;;;;;;x
EVTOPTA_SoA_5033;I'm not sharing my raft with anyone, man or beast.;Ce radeau n'est pour personne d'autre, homme ou animal.;Ich lasse niemanden auf mein Floß, weder Mensch noch Tier.;;No compartiré mi balsa con nadie, sea hombre o bestia.;;;;;;;;;x
EVTOPTA_SoA_5034;Share it around, it's more filling than it looks.;Partageons-les, c'est excellent pour soulager la faim.;Sie verteilen alles. Es ist mehr, als man glaubt.;;Lo compartes, hay más de lo que parece.;;;;;;;;;x
EVTOPTA_SoA_5035;This is fascinating. I must take the opportunity to learn.;C'est fascinant. Une excellente opportunité d'augmenter mes connaissances.;Faszinierend. Das muss ich lernen.;;Es fascinante. Tengo que aprovechar la ocasión para aprender.;;;;;;;;;x
EVTOPTA_SoA_5036;Yes, tell me more about this.;Bien sûr, dites-m'en davantage.;Interessant. Erzählt mir mehr darüber.;;Sí, cuéntame más sobre ello.;;;;;;;;;x
EVTOPTA_SoA_5037;My faith will see me through.;Ma foi m'aidera.;Mein Glaube bringt mich ans Ziel.;;La fe me guiará.;;;;;;;;;x
EVTOPTA_SoA_5038;Of course I will help you.;Bien sûr, je vous rendrai ce service.;Natürlich helfe ich euch.;;Por supuesto que la ayudaré.;;;;;;;;;x
EVTOPTA_SoA_5039;The Lord is showing me the way.;Le Seigneur me montre le chemin.;Der Herr weist mir den Weg.;;El Señor me está mostrando el camino.;;;;;;;;;x
EVTOPTA_SoA_5045;Praised be [Root.Religion.GetRandomGodName]! A most welcome escort!;[Root.Religion.GetHighGodNameCap] soit loué ! Cette escorte est fort à propos !;Gepriesen sei [Root.Religion.GetRandomGodName]! Eine hocherfreuliche Eskorte!;;¡Alabado sea [Root.Religion.GetRandomGodName]! ¡Una escolta muy bienvenida!;;;;;;;;;x
EVTOPTA_SoA_5046;Discuss theology with the knights.;Discutons théologie avec les chevaliers.;Sie führen mit den Rittern einen theologischen Diskurs. ;;Hablas con los caballeros sobre teología.;;;;;;;;;x
EVTOPTA_SoA_5047;How unexpected, to make a new friend this far from home.;Se faire un nouvel ami si loin de chez soi, c'est vraiment inattendu.;Wie schön, so fern der Heimat einen Freund zu finden.;;Qué sorpresa, hacer un nuevo amigo tan lejos de casa.;;;;;;;;;x
EVTOPTA_SoA_5050;A green and pleasant land!;Quel bel endroit verdoyant !;Ein grünes und freundliches Fleckchen!;;¡Una tierra verde y agradable!;;;;;;;;;x
EVTOPTA_SoA_5051;O Jerusalem, Jerusalem!;Ô Jérusalem, Jérusalem !;Oh, Jerusalem! Jerusalem!;;¡Oh Jerusalén, Jerusalén!;;;;;;;;;x
EVTOPTA_SoA_5052;I will pray at the Shrine of the Three Kings!;Allons prier au sanctuaire des rois mages !;Ich werde am Schrein der Heiligen Drei Könige beten!;;¡Rezaré en el sepulcro de los Reyes Magos!;;;;;;;;;x
EVTOPTA_SoA_5053;A thousand roads lead men forever to Rome!;Tous les chemins mènent à Rome !;Tausend Wege führen die Menschen auf ewig nach Rom!;;¡Todos los caminos conducen a Roma!;;;;;;;;;x
EVTOPTA_SoA_5054;I must remember to bring a seashell home with me!;Il ne faut pas que j'oublie de rapporter une coquille au château !;Ich muss unbedingt eine Jakobsmuschel von der Reise mitbringen!;;¡Tengo que acordarme de llevarme una vieira a casa!;;;;;;;;;x
EVTOPTA_SoA_5056;The way to Heaven is through study.;Le paradis s'obtient par l'étude.;Gelehrsamkeit wird den Weg ins Himmelreich weisen.;;El Cielo se alcanza mediante el estudio.;;;;;;;;;x
EVTOPTA_SoA_5057;Praise [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;[Root.Religion.GetRandomGodName] sei gepriesen!;;¡Alabad a [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTOPTA_SoA_5058;That's it?;C'est tout ?;Und das war's?;;¿Verdad?;;;;;;;;;x
EVTOPTA_SoA_5059;I will be most pleased to share my knowledge.;Ce serait un plaisir que de partager mes connaissances.;Es wäre mir eine Freude, mein Wissen zu teilen.;;Me resulta muy grato compartir mi conocimiento.;;;;;;;;;x
EVTOPTA_SoA_5060;Take the opportunity to observe different languages and customs.;Saisissons l'opportunité d'observer différentes langues et coutumes.;Nutzt die Gelegenheit, um verschiedenen Kulturen kennenzulernen.;;Aprovecháis la ocasión para observar distintas lenguas y costumbres.;;;;;;;;;x
EVTOPTA_SoA_5061;It was well worth the journey!;Le voyage en valait la peine !;Es war die Reise wert!;;¡El viaje ha valido la pena!;;;;;;;;;x
EVTOPTA_SoA_5062;What's the harm?;Quel mal y a-t-il à cela ?;Was könnte es schaden?;;No hay nada malo en ello, ¿no?;;;;;;;;;x
EVTOPTA_SoA_5063;The folks at home will never know.;Personne chez moi n'en saura rien.;Die Menschen zu Hause werden es nie erfahren.;;Mi gente nunca lo sabrá.;;;;;;;;;x
EVTOPTA_SoA_5064;God's hand touched me and healed me.;Les mains de Dieu m'ont touché et m'ont guéri.;Die Hand Gottes hat mich berührt und geheilt. ;;Las manos de Dios me han tocado para sanarme.;;;;;;;;;x
EVTOPTA_SoA_5065;Speak to them!;Parlons-leur !;Sprecht mit ihnen!;;¡Habladles!;;;;;;;;;x
EVTOPTA_SoA_5066;To the tavern!;Allez, à la taverne !;Ab in die Taverne!;;¡A la taberna!;;;;;;;;;x
EVTOPTA_SoA_5067;Muhammad was a great thinker.;Mahomet était un grand penseur.;Mohammed war ein großer Denker.;;Mahoma era un gran pensador.;;;;;;;;;x
EVTOPTA_SoA_5080;I shall have my vengeance.;Je me vengerai.;Ich werde meine Rache bekommen.;;Me vengaré.;;;;;;;;;x
EVTOPTA_SoA_5087;Great!;Excellent !;Großartig!;;¡Fantástico!;;;;;;;;;x
EVTOPTA_SoA_5091;A great experience!;Une excellente expérience !;Eine großartige Erfahrung!;;¡Una gran experiencia!;;;;;;;;;x
EVTOPTA_SoA_5092;I won't tell my family what really happened out there.;Je ne dirai pas un mot à ma famille de ce qui s'est réellement passé là-bas.;Ich werde nicht erzählen, was sich wirklich dort zugetragen hat.;;No le contaré a mi familia lo que realmente pasó allí.;;;;;;;;;x
EVTOPTA_SoA_5093;They will pay for worshipping false idols.;Ils paieront pour leur vénération de fausses idoles.;Sie werden zahlen für Ihre Götzenverehrung.;;Pagarán por los falsos ídolos a los que adoran.;;;;;;;;;x
EVTOPTA_SoA_5094;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5095;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5096;My journey begins!;Que mon voyage commence !;Meine Reise beginnt!;;¡Comienza mi viaje!;;;;;;;;;x
EVTOPTA_SoA_5097;Ah, the City of Constantine!;Ah, la cité de Constantin !;Ah, die Stadt Konstantins!;;¡Ah, la Ciudad de Constantino!;;;;;;;;;x
EVTOPTA_SoA_5098;It is beautiful, ancient Aksum!;Voici la belle et antique Aksoum !;Wie schön es ist, das antike Aksum!;;¡Es la bella y antigua Axum!;;;;;;;;;x
EVTOPTA_SoA_5099;A great and ancient city!;Une magnifique ville antique !;Eine großartige, uralte Stadt!;;¡Una ciudad magnífica y antigua!;;;;;;;;;x
EVTOPTB_SoA_603;No, it is not my concern.;Ce n'est pas mon problème.;Nein, es betrifft mich nicht.;;No, no es problema mío.;;;;;;;;;x
EVTOPTB_SoA_604;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTOPTB_SoA_611;No, it is not my concern.;Ce n'est pas mon problème.;Nein, es betrifft mich nicht.;;No, no es problema mío.;;;;;;;;;x
EVTOPTB_SoA_612;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTOPTB_SoA_620;No! I must purge my mind of such heretical thoughts.;Non, je dois chasser ces pensées hérétiques !;Niemals! Ich darf diese ketzerischen Gedanken nicht zulassen!;;¡No! ¡He de borrar tales pensamientos heréticos de mi mente!;;;;;;;;;x
EVTOPTB_SoA_621;No! I must purge my mind of such misguided notions.;Non, je dois chasser de mon esprit ces notions hérétiques !.;Niemals! Ich darf mich diesen ketzerischen Vorstellungen nicht hingeben!;;¡No! ¡He de borrar tales pensamientos insensatos de mi mente!;;;;;;;;;x
EVTOPTB_SOA_3002;My [From.GetFirstName] is no devil child!;[From.GetFirstName] n'est pas un démon !;[From.GetFirstName] ist kein Kind des Teufels!;;¡Mi [From.GetFirstName] no es hijo del demonio!;;;;;;;;;x
EVTOPTB_SOA_3002_SATANIST;[Root.Religion.GetRandomEvilGodNameCap] has honored me with this child!;[Root.Religion.GetRandomEvilGodNameCap] m'a honoré avec c[From.GetEtEtte] enfant !;[Root.Religion.GetRandomEvilGodNameCap] hat mich mit diesem Kind gesegnet!;;¡[Root.Religion.GetRandomEvilGodNameCap] me ha honrado con este/a hijo/a!;;;;;;;;;x
EVTOPTB_SOA_3003;The child is clearly an abomination!;Cet enfant est clairement une abomination !;Das Kind ist in der Tat ein Ungeheuer!;;¡No cabe duda de que el niño es una abominación!;;;;;;;;;x
EVTOPTB_SOA_3008;Could it be? I've have had horrible nightmares...;Serait-ce possible ? Tous ces affreux cauchemars...;Könnte es so gewesen sein? Ich hatte in der Tat schreckliche Albträume...;;¿Es posible? He tenido unas pesadillas horribles…;;;;;;;;;x
EVTOPTB_SOA_3009;[Root.Religion.GetRandomGodNameCap] avert! Seize both witch and child!;[Root.Religion.GetRandomGodNameCap] se détourne ! Saisissez la sorcière et l'enfant !;Weiche [Root.Religion.GetRandomGodNameCap]! Ergreift sowohl die Hexe als auch ihr Kind!;;¡Prevenid a [Root.Religion.GetRandomGodNameCap]! ¡Detened a la madre y al niño!;;;;;;;;;x
EVTOPTB_SOA_3011;Well, who doesn't have lurid dreams?;Qui n'a jamais eu de rêves de ce genre ?;Schreckliche Träume hat jeder von Zeit zu Zeit...;;Bueno, ¿quién no tiene sueños espeluznantes?;;;;;;;;;x
EVTOPTB_SOA_3014;Never! Guards, arrest [FromFrom.GetFirstName]!;Jamais ! Gardes, arrêtez [FromFrom.GetFirstName] !;Niemals! Wachen, ergreift [FromFrom.GetFirstName]!;;¡Nunca! ¡Guardias, arrestad a [FromFrom.GetFirstName]!;;;;;;;;;x
EVTOPTB_SoA_5011;I will go to Constantinople and see its great cathedrals.;J'irai à Constantinople voir ses grandes cathédrales.;Ich fahre nach Konstantinopel, um die großen Kathedralen zu sehen.;;Iré a Constantinopla a ver sus grandes catedrales.;;;;;;;;;x
EVTOPTB_SoA_5018;I will go to one of the ancient sites, Jerusalem or Rome.;Je me rendrai dans un des sites anciens, Jérusalem ou Rome.;Ich pilgere an eine der antiken Stätten, Jerusalem oder Rom.;;Iré a uno de los lugares históricos: Jerusalén o Roma.;;;;;;;;;x
EVTOPTB_SoA_5019;I will visit Köln to see the relics of the Three Kings.;Je visiterai Cologne pour y voir les reliques des rois mages.;Ich fahre nach Köln zum Schrein der Heiligen Drei Könige im Dom.;;Visitaré Colonia para ver las reliquias de los Reyes Magos.;;;;;;;;;x
EVTOPTB_SoA_5020;I will go to Rome and see the tombs of the apostles.;J'irai à Rome voir les tombeaux des apôtres.;Ich reise nach Rom zu den Gräbern der Apostel.;;Iré a Roma a ver las tumbas de los apóstoles.;;;;;;;;;x
EVTOPTB_SoA_5026;This is absurd - I should have stayed home!;C'est absurde, j'aurais dû rester chez moi !;Das ist absurd! Ich hätte zu Hause bleiben sollen!;;Esto es absurdo. ¡Debería haberme quedado en casa!;;;;;;;;;x
EVTOPTB_SoA_5027;If only I'd listened more to those peasants that gave me directions.;Si seulement j'avais écouté ces paysans qui connaissaient la région...;Hätte ich nur auf diese Bauern gehört, die mir die Richtung wiesen.;;Si hubiera hecho más caso a aquellos campesinos que me dieron indicaciones.;;;;;;;;;x
EVTOPTB_SoA_5028;Save yourself and let others handle it.;Mettons-nous en sécurité et laissons-les s'occuper de leur problème.;Bringt Euch in Sicherheit und überlasst das Löschen anderen.;;Salvarte a ti mismo y dejar que los demás se encarguen.;;;;;;;;;x
EVTOPTB_SoA_5029;Give these scoundrels the only thing they deserve – steel!;Donnons à ces vermines la seule chose qu'ils méritent : notre acier !;Gebt den Schurken das, was sie verdient haben - kalten Stahl!;;Darles a estos sinvergüenzas lo único que se merecen: ¡acero!;;;;;;;;;x
EVTOPTB_SoA_5030;Stop and help repair it.;Arrêtons-nous et réparons-le.;Haltet an und helft bei der Reparatur.;;Detenerme y ayudar a repararlo.;;;;;;;;;x
EVTOPTB_SoA_5031;It's all right there on the map. Time to get some sleep!;Oui, tout est indiqué sur la carte. Allons, il est temps de dormir !;Auf der Karte scheint alles klar. Zeit, eine Mütze Schlaf zu bekommen.;;Está todo ahí, en los mapas. ¡Es hora de dormir un poco!;;;;;;;;;x
EVTOPTB_SoA_5032;Leave him, he's probably dead anyway.;Laissons-le, il est sûrement déjà mort.;Lasst ihn liegen, wahrscheinlich ist er ohnehin tot.;;Lo dejas, probablemente ya esté muerto.;;;;;;;;;x
EVTOPTB_SoA_5033;Bring the farmers with all their animals.;Les paysans et leurs animaux peuvent venir.;Bring die Bauern mit all ihren Tieren.;;Dejas subir a los granjeros junto con los animales.;;;;;;;;;x
EVTOPTB_SoA_5034;Sorry, there's not enough for everyone.;Il n'y en a malheureusement pas assez pour tout le monde.;Tut mir leid, es reicht nicht für alle.;;Lo siento, no hay suficiente para todos.;;;;;;;;;x
EVTOPTB_SoA_5035;This does not concern me. I will spend my time in prayer.;Ces choses sont inutiles. Il vaut mieux passer son temps à prier.;Das geht mich nichts an. Ich werde in Ruhe beten.;;Esto no me concierne. Voy a dedicar mi tiempo a la oración.;;;;;;;;;x
EVTOPTB_SoA_5036;Nobles build castles. This is for peasants.;Les nobles construisent des châteaux. Ce travail-là est bon pour les paysans.;Edelleute bauen Schlösser. Dies ist für Bauern. ;;Los nobles construyen castillos. Esto es para campesinos.;;;;;;;;;x
EVTOPTB_SoA_5037;Maybe this was a bad idea. I'll stay and rest for a while.;C'était peut-être une mauvaise idée. Je vais me reposer ici quelque temps.;Ich bleibe eine Weile hier und ruhe mich aus.;;Puede que no fuera buena idea. Me quedaré aquí a descansar un poco.;;;;;;;;;x
EVTOPTB_SoA_5038;Of course I will help you (secretly add some money of your own).;Bien sûr, je vous rendrai ce service (y ajouter un peu de votre argent).;Natürlich helfe ich euch (und lege von meinem Geld etwas drauf).;;Por supuesto que la ayudaré (y a escondidas añades algo más de dinero tuyo).;;;;;;;;;x
EVTOPTB_SoA_5039;It's a bright star, so what?;C'est une étoile, elle brille, et alors ?;Ein heller Stern, na und?;;Es una estrella fulgurante, ¿y qué?;;;;;;;;;x
EVTOPTB_SoA_5045;Never trust armed men who appear out of nowhere.;Et si c'étaient de vils imposteurs ? Refusons !.;Traue niemals bewaffneten Männern, die aus dem Nichts auftauchen.;;Nunca te fíes de los hombres armados que aparecen de la nada.;;;;;;;;;x
EVTOPTB_SoA_5046;Trade stories of war.;Parlons plutôt d'anecdotes guerrières.;Sie tauschen Geschichten vom Krieg aus.;;Cuentas historias de guerra.;;;;;;;;;x
EVTOPTB_SoA_5047;I have no need for friends.;Je n'ai pas besoin d'amis.;Ich brauche keine neuen Freunde.;;No necesito amigos.;;;;;;;;;x
EVTOPTB_SoA_5056;No, I shall spend my time praying.;Non, je dois passer mon temps à la prière.;Nein, ich widme mich dem Gebet.;;No, invertiré mi tiempo en la oración.;;;;;;;;;x
EVTOPTB_SoA_5060;Take the opportunity to meet new people.;Saisissons l'opportunité de rencontrer de nouvelles personnes.;Nutzt die Gelegenheit, um neue Menschen kennenzulernen.;;Aprovecháis la ocasión para conocer gente nueva.;;;;;;;;;x
EVTOPTB_SoA_5062;That's not what I'm here for.;Je ne suis pas ici pour ça.;Meine Reise hat einen anderen Zweck.;;No he venido para eso.;;;;;;;;;x
EVTOPTB_SoA_5063;No, it's a sin!;Non, c'est un péché !;Nein, es ist eine Sünde!;;¡No, es un pecado!;;;;;;;;;x
EVTOPTB_SoA_5064;These monks really know their stuff.;Ces moines ont un vrai talent.;Diese Mönche wissen wirklich, was sie tun.;;Estos monjes saben lo que se hacen.;;;;;;;;;x
EVTOPTB_SoA_5065;No, I shall enjoy this glorious time in silence.;Non, il est préférable de savourer ce moment de gloire en silence.;Nein, ich werde diesen Moment des Ruhmes schweigend genießen.;;No, disfrutaré de este momento glorioso en silencio.;;;;;;;;;x
EVTOPTB_SoA_5066;No... must control... myself...;Non... Il faut que... je me contrôle...;Nein, sei stark... und widerstehe...;;No… tengo que… controlarme...;;;;;;;;;x
EVTOPTB_SoA_5067;Jesus was a Jew, wasn't he?;Jésus n'était-il pas juif ?;Jesus war Jude, oder etwa nicht?;;Jesús era judío, ¿no?;;;;;;;;;x
EVTOPTC_SOA_3002;Consult my [Root.GetLordSpiritualName];En parler à mon [Root.GetLordSpiritualName];Mein [Root.GetLordSpiritualName] wird einen Rat haben;;Consultar a mi [Root.GetLordSpiritualName];;;;;;;;;x
EVTOPTC_SOA_3008;[FromFrom.GetSubjectPronounCap] must not live to spread these lies...;[FromFrom.GetIlElleCap] doit mourir plutôt que de répandre ces mensonges...;[FromFrom.GetSubjectPronounCap] darf nicht weiterleben und diese Lügen verbreiten...;;[FromFrom.GetSubjectPronounCap] no puede vivir para difundir estas mentiras...;;;;;;;;;x
EVTOPTC_SoA_5011;I will go to Antioch, like the apostles.;J'irai à Antioche suivre les traces des apôtres.;Ich gehe nach Antiochia, wie die Apostel.;;Iré a Antioquía, como los apóstoles.;;;;;;;;;x
EVTOPTC_SOA_5018;I will seek out a saintly burial site.;Je vais me rendre à un lieu de sépulture d'un saint.;Ich besuche eine heilige Grabstätte.;;Buscaré la sepultura de un santo.;;;;;x
EVTOPTC_SoA_5019;I will visit the tomb of Saint James in Santiago.;Je visiterai le tombeau de saint Jacques à Santiago.;Ich besuche das Grab des Heiligen Jakob in Santiago de Compostela.;;Visitaré la tumba de Santiago Apóstol en Compostela.;;;;;;;;;x
EVTOPTC_SoA_5030;These people deserve a stone bridge. I shall pay for it.;Les pèlerins méritent un pont de pierre. Je paierai pour sa construction.;Diese Leute haben eine Brücke aus Stein verdient. Ich bezahle sie.;;Estas personas se merecen un puente de piedra. Lo pagaré.;;;;;;;;;x
EVTOPTC_SoA_5033;Only let them bring the cats and dogs.;Que les paysans viennent, mais uniquement avec chiens et chats.;Sie sollen nur Hunde und Katzen mitnehmen.;;Solo dejas subir a gatos y perros.;;;;;;;;;x
EVTOPTC_SoA_5038;Of course I will help you (lie and keep the money for yourself).;Bien sûr, je vous rendrai ce service (mentir et garder l'argent pour vous).;Natürlich helfe ich euch (und behalte ihr Geld).;;Por supuesto que la ayudaré (mientes y te quedas tú con el dinero).;;;;;;;;;x
EVTOPTC_SoA_5064;I must learn more of this secret magic.;Je dois en apprendre plus sur cette magie.;Ich muss mehr über diese geheimen Kenntnisse erfahren.;;He de saber más sobre su magia secreta.;;;;;;;;;x
EVTOPTD_SoA_5011;I will travel to Aksum, where the Ark of the Covenant lies.;J'irai à Aksoum, où se trouve l'Arche d'alliance.;Ich reise nach Aksum, wo die Bundeslade liegt.;;Viajaré a Axum, donde se encuentra el Arca de la Alianza.;;;;;;;;;x
EVTOPTD_SoA_5038;This is not my business, old crone.;Ce ne sont pas mes affaires, vieille femme.;Damit habe ich nichts zu schaffen, Alte.;;Esto no es asunto mío, vieja bruja.;;;;;;;;;x
EVTOPTE_SOA_4031;Inform [From.Liege.GetTitledFirstName]...;Informons-en [From.Liege.Get_le_TitledFirstName]...;Benachrichtigt [From.Liege.GetTitledFirstName]...;;Informar a [From.Liege.GetTitledFirstName]...;;;;;;;;;x
EVTOPTZ_SOA_3020;Let my TRUE nature be revealed for all to see!;Que ma vraie nature soit connue de tous !;Meine WAHRE Natur soll für alle sichtbar sein!;;¡Que todos vean mi AUTÉNTICA naturaleza!;;;;;;;;;x
EVTTITLE_SOA_3002;[From.Mother.GetFirstName]'s Baby;La progéniture de [From.Mother.GetFirstName];Baby von [From.Mother.GetFirstName];;El Bebé de [From.Mother.GetFirstName];;;;;;;;;x
EVTTITLE_SOA_3021;Spawn of [Root.Religion.GetRandomEvilGodName]?;Suppôt [Root.GetEvilGodDuDelaDes] ?;Nachkomme von [Root.Religion.GetRandomEvilGodName]?;;¿Semilla de [Root.Religion.GetRandomEvilGodName]?;;;;;;;;;x
EVTTITLE_SOA_3039;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTTITLE_SOA_3040;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTTITLE_SOA_3041;Lethal Nightmares;Cauchemars fatals;Tödliche Träume;;Pesadillas letales;;;;;;;;;x
EVTTITLE_SOA_3077;A Bad Omen;Un mauvais présage...;Ein böses Omen;;Un mal presagio;;;;;;;;;x
EVTTITLE_SOA_3078;A Good Omen;Un bon présage;Ein gutes Omen;;Un buen presagio;;;;;;;;;x
EVTTITLE_SOA_3082;Apocalypse Nigh;Bientôt l'Apocalypse;Die Apokalypse naht;;Cerca del apocalipsis;;;;;;;;;x
EVTTITLE_SOA_3083;Apocalypse Nigh?;Bientôt l'Apocalypse ?;Die Apokalypse naht?;;¿Cerca del apocalipsis?;;;;;;;;;x
EVTTITLE_SOA_3090;The Child of Satan;L'enfant de Satan;Das Kind Satans;;El hijo de Satanás;;;;;;;;;x
EVTTITLE_SOA_3092;Apocalypse Lost;Fin de l'Apocalypse;Die Apokalypse scheitert;;El apocalipsis perdido;;;;;;;;;x
EVTTOOLTIP_SoA_600;You embrace the Mu'tazila school of theology.;Vous vous joignez à l'école théologique mutazilite.;Ihr verschreibt Euch der Denkweise der Mu'tazila.;;Abrazáis la escuela teológica Mu'tazili.;;;;;;;;;x
EVTTOOLTIP_SoA_601;You embrace the Ash'ari school of theology.;Vous vous joignez à l'école théologique asharite.;Ihr verschreibt Euch der Denkweise der Aschariya.;;Abrazáis la escuela teológica Ash'ari.;;;;;;;;;x
EVTTOOLTIP_SoA_604;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum, die theologische Schule zu wechseln.;;Pedís a vuestro vasallo que cambie de escuela teológica.;;;;;;;;;x
EVTTOOLTIP_SoA_605;You send word that you agree to adopt the Ash'ari school.;Vous faites savoir que vous acceptez de suivre les principes asharites.;Ihr lasst verlauten, dass Ihr einem Wechsel zur Aschariya-Schule zustimmt.;;Enviáis aviso de que aceptáis adoptar la escuela Ash'ari.;;;;;;;;;x
EVTTOOLTIP_SoA_606;You send word that you refuse to adopt the Ash'ari school.;Vous faites savoir que vous refusez de suivre les principes asharites.;Ihr lasst mitteilen, dass Ihr einen Wechsel zur Aschariya-Schule ablehnt.;;Enviáis aviso de que os negáis a adoptar la escuela Ash'ari.;;;;;;;;;x
EVTTOOLTIP_SoA_612;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum, die theologische Schule zu wechseln.;;Pedís a vuestro vasallo que cambie de escuela teológica.;;;;;;;;;x
EVTTOOLTIP_SoA_613;You send word that you agree to adopt the Mu'tazila school.;Vous faites savoir que vous acceptez de suivre les principes mutazilites.;Ihr lasst verlauten, dass Ihr einem Wechsel zur Mu'tazila-Schule zustimmt.;;Enviáis aviso de que aceptáis adoptar la escuela Mu'tazili.;;;;;;;;;x
EVTTOOLTIP_SoA_614;You send word that you refuse to adopt the Mu'tazila school.;Vous faites savoir que vous refusez de suivre les principes mutazilites.;Ihr lasst mitteilen, dass Ihr einen Wechsel zur Mu'tazila-Schule ablehnt.;;Enviáis aviso de que os negáis a adoptar la escuela Mu'tazili.;;;;;;;;;x
